ID,ECLO
ACCIDENT_39609,3.63941
ACCIDENT_39610,3.5129938
ACCIDENT_39611,4.7906656
ACCIDENT_39612,4.4248595
ACCIDENT_39613,4.5622683
ACCIDENT_39614,3.8235302
ACCIDENT_39615,4.3062363
ACCIDENT_39616,3.4549074
ACCIDENT_39617,4.1404295
ACCIDENT_39618,4.31419
ACCIDENT_39619,4.2359567
ACCIDENT_39620,3.4549074
ACCIDENT_39621,4.0874157
ACCIDENT_39622,3.4549074
ACCIDENT_39623,3.4549074
ACCIDENT_39624,4.252855
ACCIDENT_39625,4.3175726
ACCIDENT_39626,4.2669563
ACCIDENT_39627,4.2889333
ACCIDENT_39628,4.5297904
ACCIDENT_39629,3.6088736
ACCIDENT_39630,3.5515087
ACCIDENT_39631,4.415552
ACCIDENT_39632,4.232356
ACCIDENT_39633,4.2787304
ACCIDENT_39634,4.5435467
ACCIDENT_39635,4.4050975
ACCIDENT_39636,4.6419735
ACCIDENT_39637,3.6040688
ACCIDENT_39638,4.3441978
ACCIDENT_39639,4.493824
ACCIDENT_39640,4.256586
ACCIDENT_39641,4.730836
ACCIDENT_39642,3.9092646
ACCIDENT_39643,4.4829254
ACCIDENT_39644,3.4549074
ACCIDENT_39645,3.864803
ACCIDENT_39646,4.6224217
ACCIDENT_39647,4.9271173
ACCIDENT_39648,5.1450224
ACCIDENT_39649,3.4549074
ACCIDENT_39650,4.356062
ACCIDENT_39651,3.484374
ACCIDENT_39652,4.6164684
ACCIDENT_39653,3.4549074
ACCIDENT_39654,3.4549074
ACCIDENT_39655,3.9880714
ACCIDENT_39656,3.471556
ACCIDENT_39657,4.0573654
ACCIDENT_39658,4.2003546
ACCIDENT_39659,3.923898
ACCIDENT_39660,4.220003
ACCIDENT_39661,4.0024242
ACCIDENT_39662,4.632047
ACCIDENT_39663,4.2161064
ACCIDENT_39664,3.8193989
ACCIDENT_39665,3.9687564
ACCIDENT_39666,3.4549074
ACCIDENT_39667,4.0426235
ACCIDENT_39668,3.4549074
ACCIDENT_39669,3.4549074
ACCIDENT_39670,4.0886374
ACCIDENT_39671,4.6475096
ACCIDENT_39672,4.474638
ACCIDENT_39673,3.6436052
ACCIDENT_39674,4.331019
ACCIDENT_39675,3.5999453
ACCIDENT_39676,4.140585
ACCIDENT_39677,3.6086135
ACCIDENT_39678,3.5868335
ACCIDENT_39679,4.202382
ACCIDENT_39680,4.280769
ACCIDENT_39681,3.617703
ACCIDENT_39682,4.063796
ACCIDENT_39683,3.5085597
ACCIDENT_39684,3.6517203
ACCIDENT_39685,4.2824655
ACCIDENT_39686,4.507275
ACCIDENT_39687,4.442499
ACCIDENT_39688,3.4549074
ACCIDENT_39689,4.296422
ACCIDENT_39690,4.168115
ACCIDENT_39691,3.4549074
ACCIDENT_39692,3.7552795
ACCIDENT_39693,3.4549074
ACCIDENT_39694,4.402811
ACCIDENT_39695,3.9600754
ACCIDENT_39696,4.302639
ACCIDENT_39697,3.9470074
ACCIDENT_39698,4.100918
ACCIDENT_39699,3.852818
ACCIDENT_39700,4.006222
ACCIDENT_39701,4.2399197
ACCIDENT_39702,4.0692954
ACCIDENT_39703,4.4434834
ACCIDENT_39704,4.1692
ACCIDENT_39705,4.0241194
ACCIDENT_39706,3.4549074
ACCIDENT_39707,4.296907
ACCIDENT_39708,4.207898
ACCIDENT_39709,4.291343
ACCIDENT_39710,3.4549074
ACCIDENT_39711,3.964054
ACCIDENT_39712,3.941084
ACCIDENT_39713,4.0710855
ACCIDENT_39714,4.297366
ACCIDENT_39715,4.5126457
ACCIDENT_39716,4.048298
ACCIDENT_39717,4.1209893
ACCIDENT_39718,4.150792
ACCIDENT_39719,4.060362
ACCIDENT_39720,4.0749316
ACCIDENT_39721,4.230891
ACCIDENT_39722,4.1757097
ACCIDENT_39723,4.096692
ACCIDENT_39724,4.0747757
ACCIDENT_39725,4.138433
ACCIDENT_39726,4.420384
ACCIDENT_39727,3.4549074
ACCIDENT_39728,3.9446738
ACCIDENT_39729,4.082059
ACCIDENT_39730,4.230176
ACCIDENT_39731,4.3922596
ACCIDENT_39732,3.4549074
ACCIDENT_39733,4.023176
ACCIDENT_39734,3.4549074
ACCIDENT_39735,4.037813
ACCIDENT_39736,4.3129025
ACCIDENT_39737,3.5820298
ACCIDENT_39738,4.096488
ACCIDENT_39739,4.1190786
ACCIDENT_39740,3.91234
ACCIDENT_39741,3.4549074
ACCIDENT_39742,3.962536
ACCIDENT_39743,3.8682709
ACCIDENT_39744,4.2225924
ACCIDENT_39745,4.0844345
ACCIDENT_39746,3.4549074
ACCIDENT_39747,3.9695208
ACCIDENT_39748,4.1600256
ACCIDENT_39749,3.4549074
ACCIDENT_39750,3.9076853
ACCIDENT_39751,3.4549074
ACCIDENT_39752,4.4798994
ACCIDENT_39753,4.1004024
ACCIDENT_39754,4.148326
ACCIDENT_39755,3.4761014
ACCIDENT_39756,4.009347
ACCIDENT_39757,4.0747795
ACCIDENT_39758,4.610494
ACCIDENT_39759,3.4549074
ACCIDENT_39760,4.200241
ACCIDENT_39761,4.0844336
ACCIDENT_39762,4.433136
ACCIDENT_39763,4.143488
ACCIDENT_39764,3.829766
ACCIDENT_39765,4.3763323
ACCIDENT_39766,3.5013793
ACCIDENT_39767,3.4549074
ACCIDENT_39768,3.4549074
ACCIDENT_39769,4.1943073
ACCIDENT_39770,3.9990256
ACCIDENT_39771,4.0504045
ACCIDENT_39772,4.3916693
ACCIDENT_39773,3.937477
ACCIDENT_39774,3.9225028
ACCIDENT_39775,3.4549074
ACCIDENT_39776,3.4549074
ACCIDENT_39777,4.1578803
ACCIDENT_39778,4.034584
ACCIDENT_39779,4.427019
ACCIDENT_39780,4.2781878
ACCIDENT_39781,4.09622
ACCIDENT_39782,4.1415215
ACCIDENT_39783,4.18242
ACCIDENT_39784,5.052546
ACCIDENT_39785,4.482376
ACCIDENT_39786,3.4549074
ACCIDENT_39787,4.6800747
ACCIDENT_39788,3.6056635
ACCIDENT_39789,4.147645
ACCIDENT_39790,4.2779875
ACCIDENT_39791,3.913889
ACCIDENT_39792,3.4661539
ACCIDENT_39793,4.2614365
ACCIDENT_39794,3.4549074
ACCIDENT_39795,4.7760687
ACCIDENT_39796,3.4549074
ACCIDENT_39797,4.4690285
ACCIDENT_39798,4.2883253
ACCIDENT_39799,4.2849617
ACCIDENT_39800,4.232282
ACCIDENT_39801,4.226877
ACCIDENT_39802,4.43756
ACCIDENT_39803,4.5354548
ACCIDENT_39804,4.5702415
ACCIDENT_39805,3.4549074
ACCIDENT_39806,4.4196787
ACCIDENT_39807,5.132554
ACCIDENT_39808,4.4387007
ACCIDENT_39809,4.295167
ACCIDENT_39810,3.4549074
ACCIDENT_39811,3.8081129
ACCIDENT_39812,4.286752
ACCIDENT_39813,4.2161217
ACCIDENT_39814,3.4549074
ACCIDENT_39815,4.4129953
ACCIDENT_39816,4.875277
ACCIDENT_39817,4.272215
ACCIDENT_39818,4.769826
ACCIDENT_39819,4.895591
ACCIDENT_39820,4.5906334
ACCIDENT_39821,5.0574017
ACCIDENT_39822,5.5336246
ACCIDENT_39823,4.637039
ACCIDENT_39824,4.393298
ACCIDENT_39825,4.5739727
ACCIDENT_39826,4.177698
ACCIDENT_39827,4.364842
ACCIDENT_39828,4.4415464
