ID,ECLO
ACCIDENT_39609,3.841793
ACCIDENT_39610,3.556961
ACCIDENT_39611,4.9035034
ACCIDENT_39612,4.2877417
ACCIDENT_39613,4.620461
ACCIDENT_39614,3.650003
ACCIDENT_39615,4.3314843
ACCIDENT_39616,3.7438297
ACCIDENT_39617,4.108119
ACCIDENT_39618,4.303577
ACCIDENT_39619,4.191168
ACCIDENT_39620,3.2571983
ACCIDENT_39621,4.0138407
ACCIDENT_39622,3.1857104
ACCIDENT_39623,2.7828493
ACCIDENT_39624,4.297121
ACCIDENT_39625,4.405805
ACCIDENT_39626,4.396096
ACCIDENT_39627,4.4179134
ACCIDENT_39628,4.7082987
ACCIDENT_39629,3.272304
ACCIDENT_39630,3.2348242
ACCIDENT_39631,4.068949
ACCIDENT_39632,4.1768794
ACCIDENT_39633,4.243794
ACCIDENT_39634,4.5111985
ACCIDENT_39635,4.341344
ACCIDENT_39636,4.7908487
ACCIDENT_39637,3.358204
ACCIDENT_39638,4.2658615
ACCIDENT_39639,4.4336805
ACCIDENT_39640,4.2244954
ACCIDENT_39641,4.8727036
ACCIDENT_39642,3.5559206
ACCIDENT_39643,4.585626
ACCIDENT_39644,2.779902
ACCIDENT_39645,3.6796503
ACCIDENT_39646,4.7722073
ACCIDENT_39647,5.2193165
ACCIDENT_39648,5.502824
ACCIDENT_39649,2.807558
ACCIDENT_39650,4.339899
ACCIDENT_39651,3.473957
ACCIDENT_39652,4.727302
ACCIDENT_39653,3.6962585
ACCIDENT_39654,3.2977667
ACCIDENT_39655,3.780367
ACCIDENT_39656,3.517826
ACCIDENT_39657,3.9953432
ACCIDENT_39658,4.1800313
ACCIDENT_39659,3.7143335
ACCIDENT_39660,4.201506
ACCIDENT_39661,3.9874153
ACCIDENT_39662,4.611988
ACCIDENT_39663,4.2052126
ACCIDENT_39664,3.632266
ACCIDENT_39665,3.9572406
ACCIDENT_39666,3.2501926
ACCIDENT_39667,4.00016
ACCIDENT_39668,3.3732343
ACCIDENT_39669,3.3714528
ACCIDENT_39670,4.0641065
ACCIDENT_39671,4.6575646
ACCIDENT_39672,4.207317
ACCIDENT_39673,3.4975605
ACCIDENT_39674,4.306689
ACCIDENT_39675,3.6526394
ACCIDENT_39676,4.072334
ACCIDENT_39677,3.3520355
ACCIDENT_39678,3.6231961
ACCIDENT_39679,4.177697
ACCIDENT_39680,4.309243
ACCIDENT_39681,3.4149623
ACCIDENT_39682,3.931233
ACCIDENT_39683,3.9725947
ACCIDENT_39684,3.7294536
ACCIDENT_39685,4.528724
ACCIDENT_39686,4.57749
ACCIDENT_39687,4.5339875
ACCIDENT_39688,3.2743998
ACCIDENT_39689,4.3493934
ACCIDENT_39690,4.1012216
ACCIDENT_39691,3.9044561
ACCIDENT_39692,3.6193528
ACCIDENT_39693,3.5106435
ACCIDENT_39694,4.372673
ACCIDENT_39695,3.9377747
ACCIDENT_39696,4.2870507
ACCIDENT_39697,4.0141344
ACCIDENT_39698,4.1395884
ACCIDENT_39699,3.5720668
ACCIDENT_39700,3.9493885
ACCIDENT_39701,4.1670747
ACCIDENT_39702,4.0157957
ACCIDENT_39703,4.4330144
ACCIDENT_39704,4.127391
ACCIDENT_39705,3.9830756
ACCIDENT_39706,3.2521663
ACCIDENT_39707,4.2358093
ACCIDENT_39708,4.1689568
ACCIDENT_39709,4.2648807
ACCIDENT_39710,3.6169071
ACCIDENT_39711,3.648385
ACCIDENT_39712,3.954214
ACCIDENT_39713,4.0815973
ACCIDENT_39714,4.4096246
ACCIDENT_39715,4.6348076
ACCIDENT_39716,4.1075363
ACCIDENT_39717,4.223997
ACCIDENT_39718,4.0441566
ACCIDENT_39719,3.8983116
ACCIDENT_39720,3.9541826
ACCIDENT_39721,4.157136
ACCIDENT_39722,4.14051
ACCIDENT_39723,4.080547
ACCIDENT_39724,4.0188317
ACCIDENT_39725,4.12811
ACCIDENT_39726,4.4155107
ACCIDENT_39727,3.2804337
ACCIDENT_39728,4.011905
ACCIDENT_39729,4.062379
ACCIDENT_39730,4.1842856
ACCIDENT_39731,4.378924
ACCIDENT_39732,3.7983494
ACCIDENT_39733,3.9586878
ACCIDENT_39734,3.3328085
ACCIDENT_39735,3.996941
ACCIDENT_39736,4.2265105
ACCIDENT_39737,3.7575755
ACCIDENT_39738,4.0328717
ACCIDENT_39739,4.0760493
ACCIDENT_39740,3.8800502
ACCIDENT_39741,3.4839263
ACCIDENT_39742,3.9474
ACCIDENT_39743,3.8271713
ACCIDENT_39744,4.190291
ACCIDENT_39745,4.062144
ACCIDENT_39746,3.4605684
ACCIDENT_39747,3.887298
ACCIDENT_39748,4.1446347
ACCIDENT_39749,3.1542072
ACCIDENT_39750,3.8241096
ACCIDENT_39751,3.6710768
ACCIDENT_39752,4.481852
ACCIDENT_39753,4.0651517
ACCIDENT_39754,4.090035
ACCIDENT_39755,3.453827
ACCIDENT_39756,3.9147925
ACCIDENT_39757,4.010062
ACCIDENT_39758,4.6510916
ACCIDENT_39759,3.2862778
ACCIDENT_39760,4.2261696
ACCIDENT_39761,3.999845
ACCIDENT_39762,4.494985
ACCIDENT_39763,4.2174373
ACCIDENT_39764,3.654251
ACCIDENT_39765,4.453167
ACCIDENT_39766,3.5741415
ACCIDENT_39767,3.3019757
ACCIDENT_39768,3.4879732
ACCIDENT_39769,4.1806817
ACCIDENT_39770,3.9905262
ACCIDENT_39771,4.008236
ACCIDENT_39772,4.3959675
ACCIDENT_39773,3.910099
ACCIDENT_39774,3.9130116
ACCIDENT_39775,3.3401546
ACCIDENT_39776,3.607432
ACCIDENT_39777,4.1286893
ACCIDENT_39778,3.991023
ACCIDENT_39779,4.3746867
ACCIDENT_39780,4.2691894
ACCIDENT_39781,3.8175964
ACCIDENT_39782,4.102781
ACCIDENT_39783,4.129944
ACCIDENT_39784,5.1829014
ACCIDENT_39785,4.4489794
ACCIDENT_39786,3.399479
ACCIDENT_39787,4.764654
ACCIDENT_39788,3.7561803
ACCIDENT_39789,4.1083055
ACCIDENT_39790,4.283677
ACCIDENT_39791,3.7233438
ACCIDENT_39792,3.5419564
ACCIDENT_39793,4.329587
ACCIDENT_39794,3.5627842
ACCIDENT_39795,4.7703476
ACCIDENT_39796,3.5280542
ACCIDENT_39797,4.4568915
ACCIDENT_39798,4.2976975
ACCIDENT_39799,4.2130084
ACCIDENT_39800,4.2089405
ACCIDENT_39801,3.936564
ACCIDENT_39802,4.398527
ACCIDENT_39803,4.489262
ACCIDENT_39804,4.5775814
ACCIDENT_39805,3.4122968
ACCIDENT_39806,4.350925
ACCIDENT_39807,5.4362464
ACCIDENT_39808,4.429837
ACCIDENT_39809,4.2309704
ACCIDENT_39810,3.1983042
ACCIDENT_39811,3.7049751
ACCIDENT_39812,4.280254
ACCIDENT_39813,4.2936473
ACCIDENT_39814,3.7218742
ACCIDENT_39815,4.513671
ACCIDENT_39816,5.135587
ACCIDENT_39817,4.395361
ACCIDENT_39818,5.0025177
ACCIDENT_39819,5.261089
ACCIDENT_39820,4.8211718
ACCIDENT_39821,5.057651
ACCIDENT_39822,5.8505144
ACCIDENT_39823,4.649621
ACCIDENT_39824,4.351838
ACCIDENT_39825,4.59154
ACCIDENT_39826,4.095876
ACCIDENT_39827,4.3265467
ACCIDENT_39828,4.1292796
ACCIDENT_39829,4.44509
ACCIDENT_39830,4.8625455
ACCIDENT_39831,4.736171
ACCIDENT_39832,4.7077947
ACCIDENT_39833,5.109547
ACCIDENT_39834,4.849952
ACCIDENT_39835,3.6267295
ACCIDENT_39836,4.583603
ACCIDENT_39837,4.416869
ACCIDENT_39838,4.6185255
ACCIDENT_39839,5.008673
ACCIDENT_39840,4.768644
ACCIDENT_39841,4.528132
ACCIDENT_39842,3.8664932
ACCIDENT_39843,4.4260683
ACCIDENT_39844,4.014044
ACCIDENT_39845,5.058849
ACCIDENT_39846,4.059121
ACCIDENT_39847,4.338153
ACCIDENT_39848,4.5265183
ACCIDENT_39849,4.0040493
ACCIDENT_39850,3.4211798
ACCIDENT_39851,4.2804646
ACCIDENT_39852,4.042906
ACCIDENT_39853,3.523779
ACCIDENT_39854,4.151354
ACCIDENT_39855,4.3439374
ACCIDENT_39856,4.0712194
ACCIDENT_39857,4.1375794
ACCIDENT_39858,4.1604514
ACCIDENT_39859,4.253915
ACCIDENT_39860,4.17261
ACCIDENT_39861,3.3381147
ACCIDENT_39862,4.420146
ACCIDENT_39863,3.351892
ACCIDENT_39864,3.393237
ACCIDENT_39865,3.5957737
ACCIDENT_39866,4.2687993
ACCIDENT_39867,4.2750783
ACCIDENT_39868,4.4352274
ACCIDENT_39869,4.619928
ACCIDENT_39870,4.5944037
ACCIDENT_39871,4.458126
ACCIDENT_39872,4.1756063
ACCIDENT_39873,3.9468074
ACCIDENT_39874,4.4848204
ACCIDENT_39875,4.367454
ACCIDENT_39876,4.143377
ACCIDENT_39877,4.0901637
ACCIDENT_39878,3.8524957
ACCIDENT_39879,4.189723
ACCIDENT_39880,3.1837387
ACCIDENT_39881,3.5859222
ACCIDENT_39882,4.4099116
ACCIDENT_39883,3.9311614
ACCIDENT_39884,4.120938
ACCIDENT_39885,4.1615353
ACCIDENT_39886,3.7779956
ACCIDENT_39887,3.6443863
ACCIDENT_39888,4.039527
ACCIDENT_39889,3.4636273
ACCIDENT_39890,4.131886
ACCIDENT_39891,4.285707
ACCIDENT_39892,3.626379
ACCIDENT_39893,4.311243
ACCIDENT_39894,3.313806
ACCIDENT_39895,4.024069
ACCIDENT_39896,4.1186247
ACCIDENT_39897,4.194099
ACCIDENT_39898,3.540936
ACCIDENT_39899,4.320456
ACCIDENT_39900,4.0241075
ACCIDENT_39901,5.493871
ACCIDENT_39902,3.2821088
ACCIDENT_39903,4.2883997
ACCIDENT_39904,3.5817938
ACCIDENT_39905,4.4931693
ACCIDENT_39906,4.2289867
ACCIDENT_39907,4.029033
ACCIDENT_39908,4.176508
ACCIDENT_39909,3.9693847
ACCIDENT_39910,4.1204014
ACCIDENT_39911,4.1303115
ACCIDENT_39912,3.9608998
ACCIDENT_39913,3.982542
ACCIDENT_39914,3.7362204
ACCIDENT_39915,3.6286845
ACCIDENT_39916,3.862729
ACCIDENT_39917,3.7526484
ACCIDENT_39918,4.467637
ACCIDENT_39919,4.1910677
ACCIDENT_39920,3.9206223
ACCIDENT_39921,4.167314
ACCIDENT_39922,4.3079977
ACCIDENT_39923,3.4341927
ACCIDENT_39924,4.3560596
ACCIDENT_39925,4.4188786
ACCIDENT_39926,4.4299765
ACCIDENT_39927,3.6497416
ACCIDENT_39928,4.4103484
ACCIDENT_39929,3.9898047
ACCIDENT_39930,4.136452
ACCIDENT_39931,3.9875321
ACCIDENT_39932,3.9228272
ACCIDENT_39933,3.9362493
ACCIDENT_39934,3.962852
ACCIDENT_39935,3.9088392
ACCIDENT_39936,3.9872208
ACCIDENT_39937,3.789257
ACCIDENT_39938,4.4091196
ACCIDENT_39939,3.2720923
ACCIDENT_39940,3.9844637
ACCIDENT_39941,3.8244467
ACCIDENT_39942,3.2925181
ACCIDENT_39943,3.990007
ACCIDENT_39944,3.926643
ACCIDENT_39945,3.487976
ACCIDENT_39946,5.602796
ACCIDENT_39947,3.9436393
ACCIDENT_39948,4.0004654
ACCIDENT_39949,3.9480247
ACCIDENT_39950,4.0912747
ACCIDENT_39951,3.9784684
ACCIDENT_39952,4.1407375
ACCIDENT_39953,3.9374123
ACCIDENT_39954,4.8704042
ACCIDENT_39955,4.2233005
ACCIDENT_39956,4.300291
ACCIDENT_39957,3.973771
ACCIDENT_39958,3.9634757
ACCIDENT_39959,3.91182
ACCIDENT_39960,4.2195706
ACCIDENT_39961,4.3155475
ACCIDENT_39962,4.39696
ACCIDENT_39963,3.974606
ACCIDENT_39964,4.330877
ACCIDENT_39965,4.650371
ACCIDENT_39966,3.6746354
ACCIDENT_39967,4.2112517
ACCIDENT_39968,4.31573
ACCIDENT_39969,3.9053707
ACCIDENT_39970,4.2705216
ACCIDENT_39971,3.8983436
ACCIDENT_39972,3.9618773
ACCIDENT_39973,3.4004717
ACCIDENT_39974,4.1591816
ACCIDENT_39975,4.0240755
ACCIDENT_39976,3.586762
ACCIDENT_39977,4.243363
ACCIDENT_39978,3.9948168
ACCIDENT_39979,3.9213815
ACCIDENT_39980,3.7023792
ACCIDENT_39981,3.6089897
ACCIDENT_39982,4.216343
ACCIDENT_39983,3.4061837
ACCIDENT_39984,3.6086235
ACCIDENT_39985,4.306567
ACCIDENT_39986,4.2207284
ACCIDENT_39987,3.9915113
ACCIDENT_39988,3.8345923
ACCIDENT_39989,3.9738874
ACCIDENT_39990,3.7126184
ACCIDENT_39991,3.9283671
ACCIDENT_39992,4.4547105
ACCIDENT_39993,4.1242557
ACCIDENT_39994,4.1754036
ACCIDENT_39995,4.0811396
ACCIDENT_39996,4.28532
ACCIDENT_39997,4.376349
ACCIDENT_39998,2.7967362
ACCIDENT_39999,4.047738
ACCIDENT_40000,4.7607126
ACCIDENT_40001,4.88759
ACCIDENT_40002,4.1478376
ACCIDENT_40003,4.0302486
ACCIDENT_40004,3.451003
ACCIDENT_40005,4.80922
ACCIDENT_40006,4.6812706
ACCIDENT_40007,5.080823
ACCIDENT_40008,4.631989
ACCIDENT_40009,4.3342967
ACCIDENT_40010,4.686604
ACCIDENT_40011,4.3502603
ACCIDENT_40012,3.9330096
ACCIDENT_40013,4.2505198
ACCIDENT_40014,4.0832877
ACCIDENT_40015,4.1059833
ACCIDENT_40016,4.161459
ACCIDENT_40017,4.306146
ACCIDENT_40018,3.3616786
ACCIDENT_40019,4.3789673
ACCIDENT_40020,4.9258604
ACCIDENT_40021,4.357999
ACCIDENT_40022,3.617631
ACCIDENT_40023,4.272253
ACCIDENT_40024,4.2537527
ACCIDENT_40025,4.071476
ACCIDENT_40026,3.9132142
ACCIDENT_40027,4.226182
ACCIDENT_40028,3.485468
ACCIDENT_40029,4.4476495
ACCIDENT_40030,4.4662604
ACCIDENT_40031,4.5450783
ACCIDENT_40032,4.404485
ACCIDENT_40033,4.491092
ACCIDENT_40034,4.3237057
ACCIDENT_40035,4.4096303
ACCIDENT_40036,4.248841
ACCIDENT_40037,3.6673336
ACCIDENT_40038,3.744423
ACCIDENT_40039,4.866743
ACCIDENT_40040,4.0638256
ACCIDENT_40041,4.045124
ACCIDENT_40042,4.427109
ACCIDENT_40043,4.2719173
ACCIDENT_40044,3.9138327
ACCIDENT_40045,3.7333832
ACCIDENT_40046,4.343152
ACCIDENT_40047,4.3124785
ACCIDENT_40048,4.360923
ACCIDENT_40049,4.512301
ACCIDENT_40050,3.383071
ACCIDENT_40051,4.6195703
ACCIDENT_40052,4.7153344
ACCIDENT_40053,4.857675
ACCIDENT_40054,5.108006
ACCIDENT_40055,3.6927276
ACCIDENT_40056,4.108231
ACCIDENT_40057,3.3174796
ACCIDENT_40058,4.1548824
ACCIDENT_40059,4.301267
ACCIDENT_40060,4.339971
ACCIDENT_40061,3.9456863
ACCIDENT_40062,4.3431363
ACCIDENT_40063,4.2853165
ACCIDENT_40064,4.043466
ACCIDENT_40065,4.120288
ACCIDENT_40066,4.0339227
ACCIDENT_40067,4.311954
ACCIDENT_40068,4.004538
ACCIDENT_40069,4.3164983
ACCIDENT_40070,3.6018596
ACCIDENT_40071,3.9851155
ACCIDENT_40072,4.1694303
ACCIDENT_40073,3.9251776
ACCIDENT_40074,3.3172731
ACCIDENT_40075,4.3031855
ACCIDENT_40076,4.14946
ACCIDENT_40077,3.9963212
ACCIDENT_40078,4.5920653
ACCIDENT_40079,4.1702394
ACCIDENT_40080,4.0240035
ACCIDENT_40081,3.6035333
ACCIDENT_40082,4.0306535
ACCIDENT_40083,4.3137193
ACCIDENT_40084,4.364178
ACCIDENT_40085,4.498201
ACCIDENT_40086,4.6948442
ACCIDENT_40087,4.2901816
ACCIDENT_40088,4.117304
ACCIDENT_40089,4.042033
ACCIDENT_40090,4.1213136
ACCIDENT_40091,3.2299628
ACCIDENT_40092,3.9023
ACCIDENT_40093,4.2684546
ACCIDENT_40094,4.067395
ACCIDENT_40095,4.0888953
ACCIDENT_40096,4.151006
ACCIDENT_40097,3.8554363
ACCIDENT_40098,3.866521
ACCIDENT_40099,3.3457222
ACCIDENT_40100,3.582923
ACCIDENT_40101,4.4974
ACCIDENT_40102,3.8752928
ACCIDENT_40103,3.5817504
ACCIDENT_40104,3.1025195
ACCIDENT_40105,3.695591
ACCIDENT_40106,4.0347586
ACCIDENT_40107,3.623732
ACCIDENT_40108,3.7479024
ACCIDENT_40109,3.7379565
ACCIDENT_40110,4.0173845
ACCIDENT_40111,2.8063154
ACCIDENT_40112,3.5986395
ACCIDENT_40113,4.613347
ACCIDENT_40114,4.230697
ACCIDENT_40115,4.334038
ACCIDENT_40116,4.26666
ACCIDENT_40117,4.4231586
ACCIDENT_40118,4.015661
ACCIDENT_40119,4.1072807
ACCIDENT_40120,3.1043272
ACCIDENT_40121,4.06612
ACCIDENT_40122,4.0919504
ACCIDENT_40123,4.230161
ACCIDENT_40124,3.885867
ACCIDENT_40125,4.232367
ACCIDENT_40126,3.840085
ACCIDENT_40127,3.8424602
ACCIDENT_40128,3.8668237
ACCIDENT_40129,3.7114372
ACCIDENT_40130,4.059595
ACCIDENT_40131,4.050424
ACCIDENT_40132,3.70326
ACCIDENT_40133,4.135483
ACCIDENT_40134,3.4712667
ACCIDENT_40135,3.6946406
ACCIDENT_40136,3.984552
ACCIDENT_40137,4.279347
ACCIDENT_40138,4.152496
ACCIDENT_40139,3.4790835
ACCIDENT_40140,4.067968
ACCIDENT_40141,4.2156806
ACCIDENT_40142,3.967277
ACCIDENT_40143,4.2376866
