무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도
주차12,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 162,대구광역시 남구 대명동 903-13,35.83885696,128.5754182,안지랑네거리1 버스정류장,4,0,,,99.0,2010.0
주차13,대구광역시,남구,시도,,봉덕로,3,대구광역시 남구 봉덕로 135,대구광역시 남구 봉덕동 853-8,35.844653,128.6046189,효성백년가약,4,0,,,99.0,2013.0
주차14,대구광역시,남구,시도,,대봉로,3,대구광역시 남구 봉덕로 134,대구광역시 남구 봉덕동 866-46,35.84418332,128.6048146,강변코오롱하늘채,4,0,,,99.0,2013.0
주차15,대구광역시,남구,시도,,큰골길,3,대구광역시 남구 큰골길 200,대구광역시 남구 대명동 2680-17,35.83479829,128.5852843,보성청록타운,4,0,,,99.0,2014.0
주차16,대구광역시,남구,시도,,큰골길,3,대구광역시 남구 큰골길 243,대구광역시 남구 봉덕동 1616,35.83272838,128.5883239,환경차고지,4,0,,,99.0,2014.0
주차17,대구광역시,남구,시도,,중앙대로,3,대구광역시 남구 중앙대로 29길 21,대구광역시 남구 대명동 52-2,35.84597405,128.5891083,영대병원 정문 앞,4,0,,,99.0,2017.0
주차18,대구광역시,남구,시도,,중앙대로,3,대구광역시 남구 중앙대로 236,대구광역시 남구 대명동 2005-12,35.85419424,128.5909186,남구보건소,4,0,,,99.0,2017.0
주차19,대구광역시,남구,시도,,이천로,3,대구광역시 남구 이천로19길 81,대구광역시 남구 대명동 2-34,35.85107907,128.5941275,동서프라임 삼거리,4,0,,,99.0,2017.0
주차20,대구광역시,남구,시도,,앞산순환로,3,대구광역시 남구 앞산순환로 574-87,대구광역시 남구 대명동 산227-5,35.82895754,128.5890355,앞산공원관리사무소,4,0,,,1.0,2017.0
주차21,대구광역시,남구,시도,,용두길,3,대구광역시 남구 용두길 31,대구광역시 남구 봉덕동 1206-21,35.83364777,128.6046237,고산골 입구,4,0,,,99.0,2017.0
주차22,대구광역시,남구,시도,,용두길,3,대구광역시 남구 용두2길 2,대구광역시 남구 봉덕동 1218-1,35.83199073,128.6043455,삼원빌라 앞,4,0,,,99.0,2017.0
주차23,대구광역시,남구,시도,,봉덕로,3,대구광역시 남구 봉덕로 19길 48,대구광역시 남구 봉덕동 734-15,35.8466796,128.5995087,봉덕한라하운젠트,4,0,,,99.0,2018.0
주차24,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 125,대구광역시 남구 대명동 1637-12,35.83958762,128.571527,부산약국 앞,4,0,,,99.0,2018.0
