시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,남도초등학교,대구광역시 남구 현충동길 74(대명동),대구광역시 남구 대명동 1709,35.8450271854,128.5814016425,대구광역시,남부경찰서,Y,7.0,6~8,2020-03-23
초등학교,영선초등학교,대구광역시 남구 영선길96(이천동),대구광역시 남구 이천동 477,35.8529010075,128.5960142233,대구광역시,남부경찰서,Y,8.0,6~10,2020-03-23
초등학교,성명초등학교,대구광역시 남구 성당로 30길 55(대명동),대구광역시 남구 대명동 3050,35.84515216,128.5708254,대구광역시,남부경찰서,Y,14.0,8~12,2020-03-23
초등학교,남덕초등학교,대구광역시 남구 앞산순환로 93길 33,대구광역시 남구 대명동 531-1,35.83304211,128.5739489212,대구광역시,남부경찰서,Y,6.0,6~8,2020-03-23
초등학교,대명초등학교,대구광역시 남구 대명로 110,대구광역시 남구 대명동 960,35.8388687716,128.5688886063,대구광역시,남부경찰서,Y,5.0,6~10,2020-03-23
초등학교,대봉초등학교,대구광역시 남구 대봉로 26길 33(이천동),대구광역시 남구 이천동 253-2,35.85166437,128.6048051,대구광역시,남부경찰서,Y,6.0,8~17,2020-03-23
초등학교,남명초등학교,대구광역시 남구 큰골4길 41,대구광역시 남구 대명동 483,35.8343637,128.5819826,대구광역시,남부경찰서,Y,7.0,8~15,2020-03-23
초등학교,봉덕초등학교,대구광역시 남구 효성로 71(봉덕동),대구광역시 남구 봉덕동 1319,35.83968058,128.5968435,대구광역시,남부경찰서,Y,8.0,8~15,2020-03-23
초등학교,남대구초등학교,대구광역시 남구 중앙대로47길 55,대구광역시 남구 대명동 1820-5,35.85355805,128.5864853,대구광역시,남부경찰서,Y,9.0,6~8,2020-03-23
초등학교,대덕초등학교,대구광역시 남구 대명서로 28(대명동),대구광역시 남구 대명동 1571-1,35.8304316,128.561677,대구광역시,남부경찰서,Y,10.0,8~15,2020-03-23
초등학교,효명초등학교,대구광역시 남구 앞산순환로 707,대구광역시 남구 봉덕동 1164,35.83464799,128.6010893,대구광역시,남부경찰서,Y,5.0,10~25,2020-03-23
유치원,계명유치원,대구광역시 남구 명덕로 20길 24(대명동),대구광역시 남구 대명동 2542-30,35.85645873,128.5793986,대구광역시,남부경찰서,Y,4.0,8,2020-03-23
유치원,해바라기유치원,대구광역시 남구 대명로 250,대구광역시 남구 대명동 359-1,35.84196926,128.5841748,대구광역시,남부경찰서,Y,4.0,30,2020-03-23
유치원,경북유치원,대구광역시 남구 중앙대로 40길 10,대구광역시 남구 대명동 1985-57,35.849925335,128.591265899,대구광역시,남부경찰서,Y,2.0,6~8,2020-03-23
유치원,반야유치원,대구광역시 남구 장전 1길 92,대구광역시 남구 대명동 804-3,35.84023286,128.5760702,대구광역시,남부경찰서,Y,4.0,8,2020-03-23
유치원,참좋은유치원,대구광역시 남구 중앙대로 126,대구광역시 남구 봉덕동 1031-20,35.84435136,128.5910004,대구광역시,남부경찰서,Y,4.0,40,2020-03-23
유치원,룸비니유치원,대구광역시 남구 대명남로 140,대구광역시 남구 대명동 627-5,35.83497147,128.5737032781,대구광역시,남부경찰서,Y,4.0,6~20,2020-03-23
유치원,대구프뢰벨유치원,대구광역시 남구 앞산순환로 467,대구광역시 남구 대명동 540-2,35.83248149,128.5760583,대구광역시,남부경찰서,Y,2.0,,2020-03-23
어린이집,화랑어린이집,대구광역시 남구 두류공원로 13길 27-5(대명동),대구광역시 남구 대명동 1010,35.84257212,128.569401,대구광역시,남부경찰서,Y,6.0,6~15,2020-03-23
어린이집,호동어린이집,대구광역시 남구 희망로 5길 19(이천동),대구광역시 남구 이천동 752-1,35.84884861,128.600145,대구광역시,남부경찰서,Y,3.0,10~15,2020-03-23
어린이집,가톨릭소화어린이집,대구광역시 남구 현충로 39길 74(대명동),대구광역시 남구 대명동 3001-17,35.85011603,128.5769832,대구광역시,남부경찰서,Y,4.0,6~8,2020-03-23
어린이집,박애어린이집,대구광역시 남구 대명서 2길 45(대명동),대구광역시 남구 대명동 1564-2,35.8319927865,128.5626800777,대구광역시,남부경찰서,Y,3.0,8,2020-03-23
어린이집,청동어린이집,대구광역시 남구 이천로 28길 42-33(이천동),대구광역시 남구 이천동 318-1,35.8535976237,128.6000086543,대구광역시,남부경찰서,Y,3.0,6,2020-03-23
어린이집,보물섬어린이집,대구광역시 남구 대명로 49길 9-5(대명동),대구광역시 남구 대명동 1698-11,35.84228388,128.5824945,대구광역시,남부경찰서,Y,2.0,8,2020-03-23
