구,법정동,주차구획수,급지구분
남구,봉덕동,62,1
남구,봉덕동,36,1
남구,대명동,31,1
남구,봉덕동,88,2
남구,봉덕동,32,1
남구,대명동,98,1
남구,대명동,53,1
남구,대명동,61,1
남구,대명동,43,1
남구,대명동,48,1
남구,대명동,23,1
남구,대명동,35,1
남구,대명동,83,1
남구,대명동,10,1
남구,대명동,20,1
남구,봉덕동,12,1
남구,봉덕동,37,1
남구,대명동,12,1
남구,대명동,22,1
남구,봉덕동,5,1
남구,대명동,19,1
남구,대명동,24,1
남구,이천동,28,1
남구,봉덕동,24,1
남구,봉덕동,43,1
남구,봉덕동,79,1
남구,봉덕동,17,2
남구,봉덕동,92,2
남구,이천동,5,1
남구,대명동,27,1
남구,대명동,32,2
남구,이천동,10,1
남구,대명동,11,1
달서구,상인동,87,2
달서구,두류동,33,3
달서구,상인동,276,3
달서구,용산동,71,2
달서구,용산동,83,2
달서구,장기동,26,2
달서구,본리동,58,2
달서구,본리동,62,2
달서구,진천동,45,3
달서구,진천동,184,3
달서구,도원동,11,3
달서구,장기동,204,2
달서구,호림동,215,3
달서구,호림동,341,3
달서구,호산동,207,3
달서구,본동,33,3
달서구,신당동,14,3
달서구,장기동,19,3
달서구,상인동,195,3
달서구,상인동,11,3
달서구,송현동,10,3
달서구,상인동,70,3
달서구,감삼동,30,3
달서구,성당동,30,3
달서구,본리동,44,3
달서구,송현동,27,3
달서구,용산동,76,3
달서구,두류동,40,3
달서구,도원동,184,3
달서구,송현동,17,3
달서구,신당동,32,3
달서구,상인동,62,3
달서구,감삼동,26,3
달서구,두류동,37,3
달서구,두류동,23,3
달서구,죽전동,23,3
달서구,상인동,157,2
달서구,감삼동,40,3
달서구,본동,11,3
달서구,용산동,20,3
달서구,송현동,26,3
달서구,송현동,42,3
달서구,상인동,47,3
달서구,용산동,35,3
달서구,본리동,103,2
달서구,진천동,23,3
달서구,죽전동,12,2
달서구,이곡동,22,3
달서구,이곡동,10,3
달서구,이곡동,64,3
달서구,갈산동,144,3
달서구,감삼동,4,2
달서구,감삼동,2,2
달서구,감삼동,19,2
달서구,감삼동,18,2
달서구,감삼동,9,2
달서구,성당동,13,2
달서구,신당동,26,2
달서구,상인동,20,2
달서구,상인동,18,2
달서구,월성동,32,2
달서구,송현동,18,2
달서구,죽전동,17,2
달서구,죽전동,4,2
달서구,죽전동,22,2
달서구,성당동,7,2
달서구,본리동,8,2
달서구,죽전동,2,2
달서구,호림동,132,3
달서구,대천동,28,3
달서구,갈산동,23,3
달서구,갈산동,11,3
달서구,성당동,20,2
달서구,성당동,17,3
달서구,성당동,21,3
달서구,성당동,61,2
달서구,용산동,13,2
달서구,용산동,35,2
달서구,죽전동,16,2
달서구,죽전동,11,2
달서구,성당동,6,2
달서구,본리동,11,2
달서구,두류동,29,2
달서구,상인동,5,2
달서구,상인동,36,2
달서구,진천동,2,2
달서구,상인동,26,2
달서구,신당동,25,2
달서구,이곡동,64,2
달서구,성당동,19,2
달서구,성당동,16,2
달서구,월암동,4,3
달서구,월암동,5,3
달서구,월암동,17,3
달서구,월암동,3,3
달서구,갈산동,12,3
달서구,월암동,15,3
달서구,월암동,18,3
달서구,월암동,50,3
달서구,월암동,30,3
달서구,갈산동,169,3
달서구,갈산동,29,3
달서구,신당동,149,3
달서구,월암동,6,3
달서구,월암동,65,3
달서구,장동,188,3
달서구,갈산동,32,3
달서구,신당동,185,3
달서구,성당동,172,2
달서구,송현동,3,2
달서구,송현동,2,3
달서구,송현동,6,2
달서구,신당동,68,2
달서구,신당동,14,2
달서구,신당동,16,2
달서구,송현동,9,2
달서구,송현동,16,2
달서구,송현동,38,2
달서구,송현동,4,2
달서구,이곡동,65,2
달서구,두류동,4,2
달서구,두류동,13,2
달서구,두류동,27,2
달서구,죽전동,3,2
달서구,죽전동,7,2
달서구,용산동,74,2
달서구,용산동,14,2
달서구,성당동,5,2
달서구,성당동,22,2
달서구,도원동,68,3
달서구,상인동,15,2
달서구,송현동,13,3
달서구,송현동,11,2
달서구,송현동,8,2
달서구,송현동,14,2
달서구,송현동,3,3
달서구,송현동,17,2
달서구,송현동,22,2
달서구,감삼동,6,2
