구군,읍면동,승용,승합,화물,특수,소계
남구,대명동,29753,1244,4953,118,36068 
남구,봉덕동,14627,418,1792,48,16885 
남구,이천동,4207,116,504,14,4841 
달서구,갈산동,1201,138,807,4,2150 
달서구,감삼동,12204,289,1892,40,14425 
달서구,대곡동,9501,292,905,24,10722 
달서구,대천동,3093,184,753,14,4044 
달서구,도원동,14552,287,1630,96,16565 
달서구,두류동,7120,265,1173,22,8580 
달서구,본동,4744,204,810,75,5833 
달서구,본리동,9249,194,1247,30,10720 
달서구,상인동,26176,571,3050,80,29877 
달서구,성당동,8534,355,1433,26,10348 
달서구,송현동,12207,451,2162,40,14860 
달서구,신당동,5462,195,1025,12,6694 
달서구,용산동,23441,500,3336,52,27329 
달서구,월성동,23030,607,4239,173,28049 
달서구,월암동,1843,79,790,15,2727 
달서구,유천동,10523,150,965,40,11678 
달서구,이곡동,27614,452,2124,40,30230 
달서구,장기동,7817,231,1384,39,9471 
달서구,장동,2588,118,1656,37,4399 
달서구,죽전동,3286,153,733,16,4188 
달서구,진천동,22636,351,1636,50,24673 
달서구,파호동,3019,47,518,13,3597 
달서구,호림동,300,10,182,5,497 
달서구,호산동,3793,70,743,13,4619 
달성군,가창면,3384,226,853,8,4471 
달성군,구지면,9153,272,1692,61,11178 
달성군,논공읍,9168,546,2658,71,12443 
달성군,다사읍,37752,920,5690,165,44527 
달성군,옥포읍,11524,291,2681,40,14536 
달성군,유가읍,13330,430,1593,53,15406 
달성군,하빈면,1810,124,1083,27,3044 
달성군,현풍읍,9904,367,1780,34,12085 
달성군,화원읍,19327,584,4054,153,24118 
동구,각산동,10899,286,1106,27,12318 
동구,검사동,4557,174,732,33,5496 
동구,괴전동,2219,100,237,5,2561 
동구,금강동,90,4,39,1,134 
동구,내곡동,41,2,10,0,53 
동구,내동,75,24,0,0,99 
동구,능성동,102,3,24,0,129 
동구,대림동,1276,40,142,4,1462 
동구,덕곡동,137,23,36,0,196 
동구,도동,1137,33,379,6,1555 
동구,도학동,129,11,29,0,169 
동구,동내동,115,5,3,0,123 
동구,동호동,3031,305,341,4,3681 
동구,둔산동,611,17,126,3,757 
동구,매여동,55,3,17,0,75 
동구,미곡동,115,6,36,0,157 
동구,미대동,153,4,56,0,213 
동구,방촌동,10659,357,2043,63,13122 
동구,백안동,314,19,97,3,433 
동구,봉무동,7035,208,1009,38,8290 
동구,부동,179,9,115,4,307 
동구,불로동,4506,160,1041,68,5775 
동구,사복동,1654,19,130,6,1809 
동구,상매동,112,10,47,9,178 
동구,서호동,1002,103,302,47,1454 
동구,송정동,164,9,52,4,229 
동구,숙천동,720,19,95,1,835 
동구,신기동,2788,85,563,5,3441 
동구,신무동,98,2,35,0,135 
동구,신서동,11862,348,1444,26,13680 
동구,신암동,15037,466,2316,52,17871 
동구,신용동,88,3,37,0,128 
동구,신천동,14541,479,2149,90,17259 
동구,신평동,1364,45,366,9,1784 
동구,용계동,4614,204,1458,120,6396 
동구,용수동,92,11,30,2,135 
동구,율암동,530,18,188,4,740 
동구,율하동,12742,305,1694,55,14796 
동구,입석동,2222,68,496,9,2795 
동구,중대동,416,16,80,1,513 
동구,지묘동,7167,134,862,13,8176 
동구,지저동,3681,100,856,12,4649 
동구,진인동,196,13,55,2,266 
동구,평광동,137,2,66,0,205 
동구,효목동,9205,268,1917,39,11429 
북구,검단동,2650,184,1003,21,3858 
북구,고성동1가,16,10,0,0,26 
북구,고성동2가,480,19,134,3,636 
북구,고성동3가,1170,37,260,3,1470 
북구,관음동,6222,286,1318,36,7862 
북구,구암동,13800,359,2203,54,16416 
북구,국우동,5180,154,877,35,6246 
북구,금호동,463,16,228,16,723 
북구,노곡동,315,15,99,2,431 
북구,노원동1가,771,36,241,3,1051 
북구,노원동2가,1370,58,388,3,1819 
북구,노원동3가,4692,177,1654,58,6581 
북구,대현동,5959,140,943,23,7065 
북구,도남동,99,6,41,2,148 
북구,동변동,4746,95,816,20,5677 
북구,동천동,10861,287,1536,28,12712 
북구,동호동,582,39,184,8,813 
북구,매천동,6792,125,1683,36,8636 
북구,복현동,13894,293,1743,42,15972 
북구,사수동,7388,147,1063,29,8627 
북구,산격동,12701,476,3226,51,16454 
북구,서변동,6023,159,1190,28,7400 
북구,연경동,4662,67,569,16,5314 
북구,읍내동,10789,520,1863,42,13214 
북구,조야동,450,16,188,2,656 
북구,칠성동1가,260,10,142,0,412 
북구,칠성동2가,8734,193,1198,20,10145 
북구,침산동,16824,387,3114,57,20382 
북구,태전동,17801,444,3242,89,21576 
북구,팔달동,2023,62,978,66,3129 
북구,학정동,4006,139,681,29,4855 
서구,내당동,10936,372,1953,46,13307 
서구,비산동,14535,526,3391,45,18497 
서구,상리동,718,31,224,1,974 
서구,원대동1가,561,15,176,5,757 
서구,원대동2가,380,11,98,5,494 
서구,원대동3가,1220,41,250,2,1513 
서구,이현동,4950,122,957,54,6083 
서구,중리동,7884,231,1873,54,10042 
서구,평리동,16207,776,3485,72,20540 
수성구,가천동,192,10,73,0,275 
수성구,고모동,144,7,71,1,223 
수성구,노변동,2699,43,209,5,2956 
수성구,대흥동,236,15,59,2,312 
수성구,두산동,6222,128,733,12,7095 
수성구,만촌동,21929,631,2367,95,25022 
수성구,매호동,6503,94,591,10,7198 
수성구,범물동,10721,263,968,22,11974 
수성구,범어동,41169,696,3914,96,45875 
수성구,사월동,5402,92,372,7,5873 
수성구,삼덕동,215,6,50,0,271 
수성구,상동,6609,187,920,18,7734 
수성구,성동,91,4,34,11,140 
수성구,수성동1가,6740,162,629,13,7544 
수성구,수성동2가,1179,92,214,7,1492 
수성구,수성동3가,3609,96,329,4,4038 
수성구,수성동4가,6228,116,545,13,6902 
수성구,시지동,8268,184,677,15,9144 
수성구,신매동,12015,321,974,28,13338 
수성구,연호동,409,13,85,0,507 
수성구,욱수동,1959,49,141,7,2156 
수성구,이천동,285,11,43,0,339 
수성구,중동,4746,110,653,7,5516 
수성구,지산동,17536,519,1649,52,19756 
수성구,파동,5210,130,648,19,6007 
수성구,황금동,20836,284,1182,31,22333 
중구,계산동1가,35,3,12,0,50 
중구,계산동2가,341,14,47,0,402 
중구,공평동,84,6,10,0,100 
중구,교동,153,5,19,0,177 
중구,남산동,17286,472,1385,31,19174 
중구,남성로,46,4,4,0,54 
중구,남일동,158,6,460,0,624 
중구,달성동,173,27,80,2,282 
중구,대봉동,4263,81,325,4,4673 
중구,대신동,3004,86,626,7,3723 
중구,대안동,36,7,10,0,53 
중구,덕산동,21,3,0,0,24 
중구,도원동,38,2,8,0,48 
중구,동문동,77,11,11,3,102 
중구,동산동,250,41,40,0,331 
중구,동성로1가,6,0,0,0,6 
중구,동성로2가,31,4,10,0,45 
중구,동성로3가,28,1,4,0,33 
중구,동인동1가,483,89,94,4,670 
중구,동인동2가,432,89,150,9,680 
중구,동인동3가,955,70,344,9,1378 
중구,동인동4가,863,26,172,2,1063 
중구,동일동,3,2,0,0,5 
중구,문화동,34,7,6,0,47 
중구,봉산동,20684,68,253,0,21005 
중구,북내동,63,1,5,0,69 
중구,북성로1가,170,12,25,0,207 
중구,북성로2가,57,2,37,0,96 
중구,사일동,10,1,0,0,11 
중구,삼덕동1가,71,3,8,0,82 
중구,삼덕동2가,628,33,64,2,727 
중구,삼덕동3가,1593,49,150,6,1798 
중구,상덕동,3,1,2,0,6 
중구,상서동,14,3,0,0,17 
중구,서내동,26,7,9,0,42 
중구,서문로1가,70,27,9,0,106 
중구,서문로2가,46,6,17,0,69 
중구,서성로1가,48,15,0,0,63 
중구,서성로2가,3,1,1,0,5 
중구,서야동,75,3,46,0,124 
중구,수동,65,30,6,0,101 
중구,수창동,1384,15,162,1,1562 
중구,시장북로,67,3,20,0,90 
중구,완전동,69,2,15,1,87 
중구,용덕동,11,1,1,0,13 
중구,인교동,152,4,80,0,236 
중구,장관동,45,2,5,0,52 
중구,전동,14,0,0,0,14 
중구,종로1가,38,6,5,0,49 
중구,종로2가,26,3,4,0,33 
중구,태평로1가,256,70,43,1,370 
중구,태평로2가,111,5,32,1,149 
중구,태평로3가,122,7,39,0,168 
중구,포정동,39,7,36,0,82 
중구,하서동,86,5,1,0,92 
중구,향촌동,61,2,10,0,73 
중구,화전동,22,1,3,0,26 
