ID,ECLO
ACCIDENT_39609,3.6794343
ACCIDENT_39610,3.4705763
ACCIDENT_39611,4.892426
ACCIDENT_39612,4.3151064
ACCIDENT_39613,4.625399
ACCIDENT_39614,3.7965364
ACCIDENT_39615,4.356544
ACCIDENT_39616,3.6352096
ACCIDENT_39617,4.1051955
ACCIDENT_39618,4.349295
ACCIDENT_39619,4.2765155
ACCIDENT_39620,3.3070607
ACCIDENT_39621,4.058217
ACCIDENT_39622,3.294867
ACCIDENT_39623,3.24009
ACCIDENT_39624,4.4010844
ACCIDENT_39625,4.452128
ACCIDENT_39626,4.410853
ACCIDENT_39627,4.441867
ACCIDENT_39628,4.7606626
ACCIDENT_39629,3.4268098
ACCIDENT_39630,3.255929
ACCIDENT_39631,4.149784
ACCIDENT_39632,4.278652
ACCIDENT_39633,4.29765
ACCIDENT_39634,4.5278077
ACCIDENT_39635,4.4013963
ACCIDENT_39636,4.885739
ACCIDENT_39637,3.3730407
ACCIDENT_39638,4.34824
ACCIDENT_39639,4.5165567
ACCIDENT_39640,4.2705216
ACCIDENT_39641,4.9415364
ACCIDENT_39642,3.695313
ACCIDENT_39643,4.639533
ACCIDENT_39644,3.2415657
ACCIDENT_39645,3.6144867
ACCIDENT_39646,4.8195443
ACCIDENT_39647,5.3212767
ACCIDENT_39648,5.5762463
ACCIDENT_39649,3.238783
ACCIDENT_39650,4.4404216
ACCIDENT_39651,3.5356035
ACCIDENT_39652,4.727671
ACCIDENT_39653,3.6212783
ACCIDENT_39654,3.1440697
ACCIDENT_39655,3.7544823
ACCIDENT_39656,3.4438734
ACCIDENT_39657,4.045421
ACCIDENT_39658,4.238503
ACCIDENT_39659,3.6730628
ACCIDENT_39660,4.2285614
ACCIDENT_39661,4.040588
ACCIDENT_39662,4.702495
ACCIDENT_39663,4.2586775
ACCIDENT_39664,3.5953603
ACCIDENT_39665,3.98272
ACCIDENT_39666,3.3356848
ACCIDENT_39667,4.0736523
ACCIDENT_39668,3.3780723
ACCIDENT_39669,3.3783278
ACCIDENT_39670,4.0829196
ACCIDENT_39671,4.77026
ACCIDENT_39672,4.410722
